Id;Designator;Package;Quantity;Designation;LCSC Ref
1;C6,C5,C2,C1,C4;C_0805_2012Metric;5;10uF;C17024
2;R9,R13,R8,R7,R11,R12;R_0805_2012Metric;6;10k;C17414
3;J1;Jack_3.5mm_PJ320D_Horizontal;1;Jack 3.5mm;C521460
4;SW2;SW_SPST_PTS645;1;Pushbutton;C221871
5;D1,D2;LED_0805_2012Metric;2;LED_0805;C434431
6;C7,C9,C11,C3,C10;C_0805_2012Metric;5;100nF;C476766
7;U1;NRF24L01_Mini;1;NRF24L01_Breakout;N/A
8;U4;SOP-8_3.9x4.9mm_P1.27mm;1;LM358;C7950
9;SW1;SW_SPDT_PCM12;1;SPDT_PCM12;C221841
10;R6,R5,R1;R_0805_2012Metric;3;330;C25306
11;RG1;R_0805_2012Metric;1;470k;C17709
12;U5;TQFP-32_7x7mm_P0.8mm;1;ATmega328P-AU;C14877
13;BT1;PinSocket_1x02_P2.54mm_Vertical;1;LiPo 100mAh;N/A
14;R10,R4;R_0805_2012Metric;2;1k;C115316
15;USB1;USB_C_Receptacle_HRO_TYPE-C-31-M-12;1;USB_C 31-M-12;C165948
16;C8;C_0805_2012Metric;1;1uF;C92812
17;R3,R2;R_0805_2012Metric;2;5.1k;C27834
18;X1;Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm;1;Resonator 8MHz;C341522
19;U2;SOT-23-5;1;MIC5205-3.3YM5;C37970
20;U3;SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm;1;TP4056;C2763448
