Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","LiPo 100mAh","PinSocket_1x02_P2.54mm_Vertical",139.050000,-124.525000,-90.000000,top
"C1","10uF","C_0805_2012Metric",160.200000,-122.900000,-90.000000,top
"C2","10uF","C_0805_2012Metric",140.000000,-131.300000,-90.000000,top
"C3","100nF","C_0805_2012Metric",141.650000,-112.500000,90.000000,top
"C4","10uF","C_0805_2012Metric",146.825000,-131.250000,-90.000000,top
"C5","10uF","C_0805_2012Metric",142.150000,-120.475000,0.000000,top
"C6","10uF","C_0805_2012Metric",138.500000,-127.800000,180.000000,top
"C7","330nF","C_0805_2012Metric",148.400000,-109.200000,0.000000,top
"C8","10uF","C_0805_2012Metric",150.000000,-120.900000,-90.000000,top
"C9","330nF","C_0805_2012Metric",148.400000,-111.100000,0.000000,top
"C10","100nF","C_0805_2012Metric",152.700000,-133.100000,0.000000,top
"C11","100nF","C_0805_2012Metric",168.500000,-147.600000,90.000000,top
"D1","LED_0805","LED_0805_2012Metric",134.900000,-141.000000,90.000000,top
"D2","LED_0805","LED_0805_2012Metric",136.900000,-108.750000,180.000000,top
"J1","Jack 3.5mm","Jack_3.5mm_PJ320D_Horizontal",154.400000,-111.630000,-90.000000,top
"R1","330","R_0805_2012Metric",134.900000,-145.900000,-90.000000,top
"R2","5.1k","R_0805_2012Metric",142.400000,-115.150000,0.000000,top
"R3","5.1k","R_0805_2012Metric",142.400000,-117.050000,0.000000,top
"R4","1k","R_0805_2012Metric",140.575000,-108.775000,0.000000,top
"R5","330","R_0805_2012Metric",146.800000,-114.200000,-90.000000,top
"R6","330","R_0805_2012Metric",148.700000,-114.200000,90.000000,top
"R7","10k","R_0805_2012Metric",145.175000,-119.625000,90.000000,top
"R8","10k","R_0805_2012Metric",152.600000,-120.000000,180.000000,top
"R9","10k","R_0805_2012Metric",156.000000,-120.000000,180.000000,top
"R10","1k","R_0805_2012Metric",151.250000,-123.600000,180.000000,top
"R11","10k","R_0805_2012Metric",156.250000,-122.900000,90.000000,top
"R12","10k","R_0805_2012Metric",154.250000,-122.887500,90.000000,top
"R13","10k","R_0805_2012Metric",163.700000,-152.200000,180.000000,top
"RG1","470k","R_0805_2012Metric",155.700000,-127.800000,-90.000000,top
"SW1","SPDT_PCM12","SW_SPDT_PCM12",133.575000,-134.600000,-90.000000,top
"SW2","Pushbutton","SW_SPST_PTS645",163.900000,-134.700000,0.000000,top
"U1","NRF24L01_Breakout","NRF24L01_Mini",160.295000,-120.980000,0.000000,top
"U2","MIC5205-3.3YM5","SOT-23-5",143.625000,-131.287500,0.000000,top
"U3","TP4056","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",143.400000,-125.300000,-90.000000,top
"U4","LM358","SOP-8_3.9x4.9mm_P1.27mm",151.900000,-128.400000,-90.000000,top
"U5","ATmega328P-A","TQFP-32_7x7mm_P0.8mm",161.500000,-145.700000,180.000000,top
"USB1","USB_C 31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",135.450000,-116.150000,-90.000000,top
"X1","Resonator 8MHz","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",168.700000,-142.900000,90.000000,top
