Comment,Designator,Footprint,LCSC
1k,"R10,R4",R_0805_2012Metric,C115316
ATmega328P-A,U5,TQFP-32_7x7mm_P0.8mm,C14877
USB_C 31-M-12,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10uF,"C1,C2,C4,C5,C6,C8",C_0805_2012Metric,C17024
330nF,"C7,C9",C_0805_2012Metric,C1740
10k,"R11,R12,R13,R7,R8,R9",R_0805_2012Metric,C17414
470k,RG1,R_0805_2012Metric,C17709
SPDT_PCM12,SW1,SW_SPDT_PCM12,C221841
Pushbutton,SW2,SW_SPST_PTS645,C221871
330,"R1,R5,R6",R_0805_2012Metric,C25306
ICSP,J2,Molex_200528-0050_1x05-1MP_P1.00mm_Horizontal,C262360
TP4056,U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,C2763448
5.1k,"R2,R3",R_0805_2012Metric,C27834
Resonator 8MHz,X1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C341522
MIC5205-3.3YM5,U2,SOT-23-5,C37970
LED_0805,"D1,D2",LED_0805_2012Metric,C434431
100nF,"C10,C11,C3",C_0805_2012Metric,C476766
Jack 3.5mm,J1,Jack_3.5mm_PJ320D_Horizontal,C521460
LM358,U4,SOP-8_3.9x4.9mm_P1.27mm,C7950
NRF24L01_Breakout,U1,NRF24L01_Mini,
LiPo 100mAh,BT1,PinSocket_1x02_P2.54mm_Vertical,
